wallet,chain,symbol,amount,price_usd,value_usd,token_address
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,USDC,6602.28774,0.9989710548507722,6595.4943480561205,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,AETHWETH,15.124381185136562,24.94550371327244,377.28530701477194,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,BARD,87.0,0.784099613900188,68.21666640931635,0xf0db65d17e30a966c2ae6a21f6bba71cea6e9754
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,base,ETH,0.005387303329040042,3114.891616,16.780865972475716,native
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,arbitrum,USDC,13.758461,0.9989939542470234,13.744619358743456,0xaf88d065e77c8cc2239327c5edb3a432268e5831
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,arbitrum,ETH,0.004037349860993931,3128.586047,12.631196441963002,native
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,optimism,ETH,0.00134113776674262,3113.849076,4.176100595760211,native
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,ETH,0.000957512130398524,3126.625812,2.993782142207135,native
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,RESOLV,8.0,0.029966134732358613,0.2397290778588689,0x259338656198ec7a76c729514d3cb45dfbf768a1
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,base,GIFT,20250.0,1.4172354253058632e-06,0.028699017362443728,0x158ba75aace3f91e95937c0856d6369cde7a151e
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,MIXQ,14.72,0.0016766229788633057,0.02467989024886786,0x3e452a416dae9f0bf4bf69fa0bf529c2b7c7360f
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,base,GOOFS,1.0,0.0005151326904476313,0.0005151326904476313,0x8e5c04f82d6464b420e2018362e7e7ab813cf190
