wallet,chain,symbol,amount,price_usd,value_usd,token_address
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,ETH,12.533002704478728,3009.488432,37717.92665735345,native
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,BARD,87.0,0.7218003779886405,62.79663288501172,0xf0db65d17e30a966c2ae6a21f6bba71cea6e9754
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,base,ETH,0.005387303329040042,3010.23188,16.217032228306465,native
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,arbitrum,ETH,0.004037913690993931,3010.234824,12.155068408936307,native
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,optimism,ETH,0.00134113776674262,2996.724069,4.019019825442517,native
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,RESOLV,8.0,0.033515768150307525,0.2681261452024602,0x259338656198ec7a76c729514d3cb45dfbf768a1
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,base,GIFT,20250.0,1.369323073452564e-06,0.027728792237414424,0x158ba75aace3f91e95937c0856d6369cde7a151e
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,arbitrum,USDC,0.001359,0.9989951357251678,0.001357634389450503,0xaf88d065e77c8cc2239327c5edb3a432268e5831
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,base,GOOFS,1.0,0.0004862397705010278,0.0004862397705010278,0x8e5c04f82d6464b420e2018362e7e7ab813cf190
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,BONE,1.0,0.00024668653044008777,0.00024668653044008777,0xb9d514814c1780c235e4b973d16210d917e32926
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,base,LWFI,1300.0,1.7069496094708148e-07,0.0002219034492312059,0x2953ca1174b41b28439ef1155235fa699d7b75ba
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,ethereum,BUN,5.0,3.7860299281856747e-06,1.8930149640928375e-05,0x7701996420a116f25bd414c02381f6db698bf2eb
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,optimism,USDT,1e-05,0.9935689671811883,9.935689671811884e-06,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,base,FACE,1.0,9.583233758758711e-06,9.583233758758711e-06,0xd1e1f9d3dacf3b0904518201d9f4b170f18be8c0
0x967e6a64d58780189e4f834a9db9aac6d928c1d2,optimism,ACHIVX,0.001,0.0012201527179599356,1.2201527179599355e-06,0xfaf87e196a29969094be35dfb0ab9d0b8518db84
